file_name,latex
001-equation000.png,$y = Ax + A^2$
001-equation001.png,$B_n(1-x)=(-1)^n B_n(x)$
001-equation0010.png,$0 < x < 1$
001-equation0011.png,$A ( B + C ) = A B + A C$
001-equation0012.png,$A\times B$
001-equation0013.png,$A_2>B_2$
001-equation002.png,"$\forall x \in A, \forall y \in B, x<y$"
001-equation003.png,"$\forall a , \forall b , \forall c , ( a , b , c ) = ( ( a , b ) , c )$"
001-equation004.png,"$\exists Y, Y > j$"
001-equation005.png,$(A_2B_1)$
001-equation006.png,$A = B \times C$
001-equation007.png,$\forall y\in A$
001-equation008.png,$\cos(A+B)$
001-equation009.png,"$\exists i, C_1[i] < C_2[i]$"
002-equation000.png,$\gamma < B$
002-equation001.png,$\gamma>\gamma_0>0$
002-equation002.png,"$\exists \alpha, \forall x \in [a,b]$"
002-equation003.png,$0<\gamma_i < \alpha$
002-equation004.png,"$A_1,A_2,\ldots,A_n$"
002-equation005.png,"$\frac{d}{dt}\{A,B\} = \{\frac{dA}{dt},B \}+ \{A,\frac{dB}{dt} \}$"
002-equation006.png,$t_2 > t_1 > t_0$
002-equation007.png,$y^n<x B^k$
002-equation008.png,$0\leq b<B$
002-equation009.png,$A = A_1 + A_2$
002-equation010.png,"$\forall a\in A, \forall b\in B, a < b$"
002-equation011.png,$y_1(z)<y(z)<y_2(z)$
002-equation012.png,"$\forall t \in [0,2\pi], f(t) = e^{it}$"
002-equation013.png,$A \times (B \times C) = (A \times B) \times C$
101_alfonso.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_carlos.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_caue.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_danilo.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_david.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_edwin.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_em_0.png,$ \begin{pmatrix}5  &0  \\0  &4\end{pmatrix}  $
101_em_1.png,$  B=\begin{pmatrix}1  &2  \\0  &-1\end{pmatrix}  $
101_em_10.png,$\begin{pmatrix}-4 - 2 &15\\-2&7 - 2\end{pmatrix}x = 0$
101_em_11.png,$\begin{pmatrix}1  &3  \\2  &5\end{pmatrix}$
101_em_12.png,$\begin{pmatrix}1  &1  \\-1  &1  \\3  &-1\end{pmatrix}  $
101_em_13.png,$ \begin{pmatrix}1  &1  \\0  &0\end{pmatrix} $
101_em_14.png,$ \begin{pmatrix}0  &1  \\1  &0\end{pmatrix} $
101_em_15.png,$\begin{pmatrix}0  &1  &1  &0  &1  \\0  &0  &1  &1  &1  \\0  &0  &0  &0  &0  \\0  &0  &0  &0  &0  \\0  &0  &0  &0  &0\end{pmatrix}$
101_em_16.png,$\begin{vmatrix}1 & -1 & 2  \\2 & 1 & 1  \\3 & -1 & 1  \\\end{vmatrix}$
101_em_17.png,$\begin{pmatrix}1  &3  &2  \\5  &1  &1  \\6  &4  &3\end{pmatrix}  $
101_em_18.png,$A^{n-1} =\begin{pmatrix}2&3\\1&1\end{pmatrix}\begin{pmatrix}2^{n-1}&0\\0&3^{n-1}\end{pmatrix}\begin{pmatrix}-1&3\\1&-2\end{pmatrix}$
101_em_19.png,$ \begin{pmatrix}2  &0  \\-1  &3\end{pmatrix} $
101_em_2.png,$\begin{pmatrix}0  &1  &0  &0  \\1  &0  &0  &0  \\0  &0  &0  &1  \\0  &0  &1  &0            \end{pmatrix}$
101_em_20.png,$\begin{pmatrix}2    &1   &0  \\3    &-2  &0 \\1    &0   &0\end{pmatrix}    $
101_em_21.png,$P=\begin{pmatrix}1  &-2  \\1  &2\end{pmatrix}^{-1}=\begin{pmatrix}1/2  &1/2  \\-1/4 &1/4\end{pmatrix}$
101_em_22.png,$A =\begin{pmatrix}-4&15\\-2&7\end{pmatrix}$
101_em_23.png,$\left|T-xI\right|=\begin{vmatrix}-x &1  &0  &0  \\0  &-x &2  &0  \\0  &0  &-x &3  \\0  &0  &0  &-x\end{vmatrix}=x^4$
101_em_24.png,$C =\begin{pmatrix}1&2\\4&5\\\end{pmatrix}\begin{pmatrix}1&0\\0&1\\\end{pmatrix}=\begin{pmatrix}1&2\\4&5\\\end{pmatrix}$
101_em_3.png,$ \begin{pmatrix}2   &2  &3  \\1   &-2 &-3 \\4   &-2 &-3\end{pmatrix} $
101_em_4.png,$\begin{pmatrix}1/6  &0   &0   &0   &0   &0  \\1/6  &2/6 &0  &0 &0 &0 \\1/6  &1/6 &3/6 &0 &0 &0 \\1/6  &1/6 &1/6 &4/6&0&0\end{pmatrix}$
101_em_5.png,$P = \begin{bmatrix}P_{11}  & P_{12} \\P_{21} &  P_{22} \end{bmatrix}$
101_em_6.png,$P = \left[ \begin{matrix}p_1\\p_2\\p_3\\1 \end{matrix} \right]$
101_em_7.png,$T=\begin{pmatrix}4  &-2  \\1  &1\end{pmatrix}$
101_em_8.png,$\begin{pmatrix}-1  &0  \\0  &-1\end{pmatrix}$
101_em_9.png,$\begin{pmatrix}5  &10 \\10  &5\end{pmatrix}  $
101_Fabricio.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_Frank.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_fujita.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_herbert.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_hirata.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_jorge.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_leissi.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_leo.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_miguel.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_mijail.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_Nina.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_rosario.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_user0.png,$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
102_em_25.png,$ \begin{pmatrix}2  &3  &4  \\5  &6  &7  \\8  &9  &1\end{pmatrix} $
102_em_26.png,$ \begin{pmatrix}1  &-1 \\1  &1\end{pmatrix}  $
102_em_27.png,$ \begin{pmatrix}-1 &4  &0  &0  &0  \\0 &3  &0  &0  &0  \\0 &-4 &-1 &0  &0  \\3 &-9 &-4 &2  &-1 \\1 &5  &4  &1  &4\end{pmatrix} $
102_em_28.png,$\begin{pmatrix}2  &-3  \\-4  &6\end{pmatrix}$
102_em_29.png,"$\begin{bmatrix}\alpha_1^4 & \alpha_2^4 & \alpha_3^4 \\\end{bmatrix}\;\; = \;\; - b_1\,\begin{bmatrix}\alpha_1^2 & \alpha_2^2 & \alpha_3^2 \\\end{bmatrix}\; - \; b_0\,\begin{bmatrix}\alpha_1 & \alpha_2 & \alpha_3 \\\end{bmatrix}$"
102_em_30.png,$\begin{pmatrix}1&2\end{pmatrix}\begin{pmatrix}1\\2\end{pmatrix}$
102_em_31.png,$\begin{pmatrix}1  &-1  \\0  &1\end{pmatrix}\begin{pmatrix}1  &-1  \\1  &-1\end{pmatrix}\begin{pmatrix}1  &1  \\0  &1\end{pmatrix}=\begin{pmatrix}0  &0  \\1  &0\end{pmatrix}$
102_em_32.png,$N_3=\begin{pmatrix}0  &0  &0  &0  &0  \\1  &0  &0  &0  &0  \\0  &1  &0  &0  &0  \\0  &0  &1  &0  &0  \\0  &0  &0  &0  &0\end{pmatrix}$
102_em_33.png,$\begin{pmatrix}2  &2  \\4  &3\end{pmatrix}$
102_em_34.png,$\begin{pmatrix}\sqrt{3}/2  &-1/2       \\1/2         &\sqrt{3}/2\end{pmatrix}$
